Date_Scraping;Date_Detachement;Statut;Ticker;Nom;Montant_FCFA;Rendement_Pct
2026-05-05;2026-05-05;A venir;BOAC.ci;BANK OF AFRICA CI;594,53;6,69
2026-05-05;2026-05-22;A venir;SNTS.sn;SONATEL;1740,0;6,0
2026-05-05;2026-05-28;A venir;BOAS.sn;BANK OF AFRICA SENEGAL;450,0;6,27
2026-05-05;2026-06-01;A venir;BOAM.ml;BANK OF AFRICA MALI;305,04;6,53
2026-05-05;2026-06-12;A venir;ONTBF.bf;ONATEL BF;145,32;5,38
2026-05-05;A préciser;A préciser;LNBB.bj;LOTERIE NATIONALE DU BENIN;164,0;4,26
2026-05-05;A préciser;A préciser;PRSC.ci;TRACTAFRIC MOTORS CI;183,92;4,67
2026-05-05;A préciser;A préciser;NTLC.ci;NESTLE CI;369,6;3,19
2026-05-05;A préciser;A préciser;TTLS.sn;TOTAL SENEGAL;169,81;5,63
2026-05-05;A préciser;A préciser;ABJC.ci;SERVAIR ABIDJAN CI;120,97;4,32
2026-05-05;A préciser;A préciser;SDCC.ci;SODECI;462,0;5,09
2026-05-05;A préciser;A préciser;NEIC.ci;NEI CEDA CI;140,39;7,98
2026-05-05;A préciser;A préciser;SIBC.ci;SOCIETE IVOIRIENNE DE BANQUE CI;374,0;5,34
2026-05-05;A préciser;A préciser;CBIBF.bf;CORIS BANK INTERNATIONAL BF;900,0;5,34
2026-05-05;A préciser;A préciser;TTLC.ci;TOTAL CI;139,77;5,09
2026-05-05;A préciser;A préciser;SGBC.ci;SGBCI;2293,28;7,17
2026-05-05;A préciser;A préciser;BOAB.bj;BANK OF AFRICA BENIN;585,0;6,5
2026-05-05;A préciser;A préciser;ETIT.tg;ETI TG;0,93;3,21
2026-05-05;A préciser;A préciser;ECOC.ci;ECOBANK CI;781,0;4,87
2026-05-05;A préciser;A préciser;PALC.ci;PALMCI;441,76;6,05
2026-05-05;A préciser;A préciser;SPHC.ci;SAPH CI;430,32;6,42
2026-05-05;A préciser;A préciser;ORAC.ci;ORANGE CI;704,0;4,69
2026-05-05;A préciser;A préciser;CABC.ci;SICABLE CI;152,02;4,26
