Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-06-03;94,58;94,58;94,58;94,58;0;0,0;
2019-06-05;93,65;93,65;93,65;93,65;0;0,0;-0,98
2019-06-06;93,77;93,77;93,77;93,77;0;0,0;0,13
2019-06-07;94,47;94,47;94,47;94,47;0;0,0;0,75
2019-06-11;93,39;93,39;93,39;93,39;0;0,0;-1,14
2019-06-12;93,39;93,39;93,39;93,39;0;0,0;0,0
2019-06-13;94,12;94,12;94,12;94,12;0;0,0;0,78
2019-06-14;93,02;93,02;93,02;93,02;0;0,0;-1,17
2019-06-17;91,25;91,25;91,25;91,25;0;0,0;-1,9
2019-06-18;92,03;92,03;92,03;92,03;0;0,0;0,85
2019-06-19;93,3;93,3;93,3;93,3;0;0,0;1,38
2019-06-20;93,01;93,01;93,01;93,01;0;0,0;-0,31
2019-06-21;92,77;92,77;92,77;92,77;0;0,0;-0,26
2019-06-24;92,04;92,04;92,04;92,04;0;0,0;-0,79
2019-06-25;92,14;92,14;92,14;92,14;0;0,0;0,11
2019-06-26;88,86;88,86;88,86;88,86;0;0,0;-3,56
2019-06-27;87,65;87,65;87,65;87,65;0;0,0;-1,36
2019-06-28;88,27;88,27;88,27;88,27;0;0,0;0,71
2019-07-01;85,47;85,47;85,47;85,47;0;0,0;-3,17
2019-07-02;84,65;84,65;84,65;84,65;0;0,0;-0,96
2019-07-03;82,91;82,91;82,91;82,91;0;0,0;-2,06
2019-07-04;84,28;84,28;84,28;84,28;0;0,0;1,65
2019-07-05;84,03;84,03;84,03;84,03;0;0,0;-0,3
2019-07-08;83,97;83,97;83,97;83,97;0;0,0;-0,07
2019-07-09;85,39;85,39;85,39;85,39;0;0,0;1,69
2019-07-10;83,71;83,71;83,71;83,71;0;0,0;-1,97
2019-07-11;83,65;83,65;83,65;83,65;0;0,0;-0,07
2019-07-12;82,23;82,23;82,23;82,23;0;0,0;-1,7
2019-07-15;82,66;82,66;82,66;82,66;0;0,0;0,52
2019-07-16;81,08;81,08;81,08;81,08;0;0,0;-1,91
2019-07-17;80,21;80,21;80,21;80,21;0;0,0;-1,07
2019-07-18;79,4;79,4;79,4;79,4;0;0,0;-1,01
2019-07-19;80,68;80,68;80,68;80,68;0;0,0;1,61
2019-07-22;79,96;79,96;79,96;79,96;0;0,0;-0,89
2019-07-23;78,8;78,8;78,8;78,8;0;0,0;-1,45
2019-07-24;78,91;78,91;78,91;78,91;0;0,0;0,14
2019-07-25;79,82;79,82;79,82;79,82;0;0,0;1,15
2019-07-26;78,95;78,95;78,95;78,95;0;0,0;-1,09
2019-07-29;78,98;78,98;78,98;78,98;0;0,0;0,04
2019-07-30;79,29;79,29;79,29;79,29;0;0,0;0,39
2019-07-31;79,6;79,6;79,6;79,6;0;0,0;0,39
2019-08-01;79,38;79,38;79,38;79,38;0;0,0;-0,28
2019-08-02;80,14;80,14;80,14;80,14;0;0,0;0,96
2019-08-05;80,14;80,14;80,14;80,14;0;0,0;0,0
2019-08-06;80,83;80,83;80,83;80,83;0;0,0;0,86
2019-08-07;80,83;80,83;80,83;80,83;0;0,0;0,0
2019-08-08;79,99;79,99;79,99;79,99;0;0,0;-1,04
2019-08-09;79,76;79,76;79,76;79,76;0;0,0;-0,29
2019-08-12;79,76;79,76;79,76;79,76;0;0,0;0,0
2019-08-13;80,03;80,03;80,03;80,03;0;0,0;0,34
2019-08-14;79,14;79,14;79,14;79,14;0;0,0;-1,11
2019-08-15;79,14;79,14;79,14;79,14;0;0,0;0,0
2019-08-16;79,04;79,04;79,04;79,04;0;0,0;-0,13
2019-08-19;76,68;76,68;76,68;76,68;0;0,0;-2,99
2019-08-20;76,3;76,3;76,3;76,3;0;0,0;-0,5
2019-08-21;75,96;75,96;75,96;75,96;0;0,0;-0,45
2019-08-22;75,96;75,96;75,96;75,96;0;0,0;0,0
2019-08-23;75,25;75,25;75,25;75,25;0;0,0;-0,93
2019-08-26;74,06;74,06;74,06;74,06;0;0,0;-1,58
2019-08-27;74,17;74,17;74,17;74,17;0;0,0;0,15
2019-08-28;76,56;76,56;76,56;76,56;0;0,0;3,22
2019-08-29;76,37;76,37;76,37;76,37;0;0,0;-0,25
2019-08-30;76,88;76,88;76,88;76,88;0;0,0;0,67
2019-09-02;74,05;74,05;74,05;74,05;0;0,0;-3,68
2019-09-03;73,66;73,66;73,66;73,66;0;0,0;-0,53
2019-09-04;73,66;73,66;73,66;73,66;0;0,0;0,0
2019-09-05;72,64;72,64;72,64;72,64;0;0,0;-1,38
2019-09-06;72,44;72,44;72,44;72,44;0;0,0;-0,28
2019-09-09;72,72;72,72;72,72;72,72;0;0,0;0,39
2019-09-10;72,55;72,55;72,55;72,55;0;0,0;-0,23
2019-09-11;73,14;73,14;73,14;73,14;0;0,0;0,81
2019-09-12;74,0;74,0;74,0;74,0;0;0,0;1,18
2019-09-13;72,07;72,07;72,07;72,07;0;0,0;-2,61
2019-09-16;71,19;71,19;71,19;71,19;0;0,0;-1,22
2019-09-17;70,3;70,3;70,3;70,3;0;0,0;-1,25
2019-09-18;69,53;69,53;69,53;69,53;0;0,0;-1,1
2019-09-19;68,65;68,65;68,65;68,65;0;0,0;-1,27
2019-09-20;66,23;66,23;66,23;66,23;0;0,0;-3,53
2019-09-23;64,12;64,12;64,12;64,12;0;0,0;-3,19
2019-09-24;62,62;62,62;62,62;62,62;0;0,0;-2,34
2019-09-25;64,74;64,74;64,74;64,74;0;0,0;3,39
2019-09-26;66,45;66,45;66,45;66,45;0;0,0;2,64
2019-09-27;66,34;66,34;66,34;66,34;0;0,0;-0,17
2019-09-30;66,39;66,39;66,39;66,39;0;0,0;0,08
2019-10-01;64,48;64,48;64,48;64,48;0;0,0;-2,88
2019-10-02;65,09;65,09;65,09;65,09;0;0,0;0,95
2019-10-03;63,1;63,1;63,1;63,1;0;0,0;-3,06
2019-10-04;62,66;62,66;62,66;62,66;0;0,0;-0,7
2019-10-07;62,8;62,8;62,8;62,8;0;0,0;0,22
2019-10-08;63,29;63,29;63,29;63,29;0;0,0;0,78
2019-10-09;61,87;61,87;61,87;61,87;0;0,0;-2,24
2019-10-10;59,9;59,9;59,9;59,9;0;0,0;-3,18
2019-10-11;61,46;61,46;61,46;61,46;0;0,0;2,6
2019-10-14;61,04;61,04;61,04;61,04;0;0,0;-0,68
2019-10-15;61,88;61,88;61,88;61,88;0;0,0;1,38
2019-10-16;61,05;61,05;61,05;61,05;0;0,0;-1,34
2019-10-17;61,04;61,04;61,04;61,04;0;0,0;-0,02
2019-10-18;59,82;59,82;59,82;59,82;0;0,0;-2,0
2019-10-21;60,65;60,65;60,65;60,65;0;0,0;1,39
2019-10-22;60,6;60,6;60,6;60,6;0;0,0;-0,08
2019-10-23;60,65;60,65;60,65;60,65;0;0,0;0,08
2019-10-24;61,46;61,46;61,46;61,46;0;0,0;1,34
2019-10-25;63,32;63,32;63,32;63,32;0;0,0;3,03
2019-10-28;62,37;62,37;62,37;62,37;0;0,0;-1,5
2019-10-29;60,62;60,62;60,62;60,62;0;0,0;-2,81
2019-10-30;62,37;62,37;62,37;62,37;0;0,0;2,89
2019-10-31;60,36;60,36;60,36;60,36;0;0,0;-3,22
2019-11-01;60,36;60,36;60,36;60,36;0;0,0;0,0
2019-11-04;61,73;61,73;61,73;61,73;0;0,0;2,27
2019-11-05;61,3;61,3;61,3;61,3;0;0,0;-0,7
2019-11-06;61,49;61,49;61,49;61,49;0;0,0;0,31
2019-11-07;61,26;61,26;61,26;61,26;0;0,0;-0,37
2019-11-08;61,33;61,33;61,33;61,33;0;0,0;0,11
2019-11-11;60,89;60,89;60,89;60,89;0;0,0;-0,72
2019-11-12;60,89;60,89;60,89;60,89;0;0,0;0,0
2019-11-13;60,67;60,67;60,67;60,67;0;0,0;-0,36
2019-11-14;60,02;60,02;60,02;60,02;0;0,0;-1,07
2019-11-18;60,78;60,78;60,78;60,78;0;0,0;1,27
2019-11-19;60,91;60,91;60,91;60,91;0;0,0;0,21
2019-11-20;60,26;60,26;60,26;60,26;0;0,0;-1,07
2019-11-21;59,32;59,32;59,32;59,32;0;0,0;-1,56
2019-11-22;60,66;60,66;60,66;60,66;0;0,0;2,26
2019-11-25;59,95;59,95;59,95;59,95;0;0,0;-1,17
2019-11-26;60,53;60,53;60,53;60,53;0;0,0;0,97
2019-11-27;60,57;60,57;60,57;60,57;0;0,0;0,07
2019-11-28;60,53;60,53;60,53;60,53;0;0,0;-0,07
2019-11-29;61,24;61,24;61,24;61,24;0;0,0;1,17
2019-12-02;60,21;60,21;60,21;60,21;0;0,0;-1,68
2019-12-03;60,8;60,8;60,8;60,8;0;0,0;0,98
2019-12-04;60,27;60,27;60,27;60,27;0;0,0;-0,87
2019-12-05;61,16;61,16;61,16;61,16;0;0,0;1,48
2019-12-06;62,17;62,17;62,17;62,17;0;0,0;1,65
2019-12-09;61,26;61,26;61,26;61,26;0;0,0;-1,46
2019-12-10;62,47;62,47;62,47;62,47;0;0,0;1,98
2019-12-11;62,6;62,6;62,6;62,6;0;0,0;0,21
2019-12-12;61,98;61,98;61,98;61,98;0;0,0;-0,99
2019-12-13;63,18;63,18;63,18;63,18;0;0,0;1,94
2019-12-16;63,94;63,94;63,94;63,94;0;0,0;1,2
2019-12-17;67,13;67,13;67,13;67,13;0;0,0;4,99
2019-12-18;69,87;69,87;69,87;69,87;0;0,0;4,08
2019-12-19;72,83;72,83;72,83;72,83;0;0,0;4,24
2019-12-20;74,28;74,28;74,28;74,28;0;0,0;1,99
2019-12-23;74,73;74,73;74,73;74,73;0;0,0;0,61
2019-12-24;76,27;76,27;76,27;76,27;0;0,0;2,06
2019-12-25;76,27;76,27;76,27;76,27;0;0,0;0,0
2019-12-26;79,3;79,3;79,3;79,3;0;0,0;3,97
2019-12-27;80,11;80,11;80,11;80,11;0;0,0;1,02
2019-12-30;81,28;81,28;81,28;81,28;0;0,0;1,46
2019-12-31;85,88;85,88;85,88;85,88;0;0,0;5,66
