Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-06-03;253,45;253,45;253,45;253,45;0;0,0;
2019-06-05;250,05;250,05;250,05;250,05;0;0,0;-1,34
2019-06-06;245,89;245,89;245,89;245,89;0;0,0;-1,66
2019-06-07;250,38;250,38;250,38;250,38;0;0,0;1,83
2019-06-11;255,55;255,55;255,55;255,55;0;0,0;2,06
2019-06-12;254,68;254,68;254,68;254,68;0;0,0;-0,34
2019-06-13;248,41;248,41;248,41;248,41;0;0,0;-2,46
2019-06-14;246,63;246,63;246,63;246,63;0;0,0;-0,72
2019-06-17;244,18;244,18;244,18;244,18;0;0,0;-0,99
2019-06-18;248,76;248,76;248,76;248,76;0;0,0;1,88
2019-06-19;246,21;246,21;246,21;246,21;0;0,0;-1,03
2019-06-20;244,58;244,58;244,58;244,58;0;0,0;-0,66
2019-06-21;245,05;245,05;245,05;245,05;0;0,0;0,19
2019-06-24;244,4;244,4;244,4;244,4;0;0,0;-0,27
2019-06-25;238,83;238,83;238,83;238,83;0;0,0;-2,28
2019-06-26;236,01;236,01;236,01;236,01;0;0,0;-1,18
2019-06-27;235,65;235,65;235,65;235,65;0;0,0;-0,15
2019-06-28;239,35;239,35;239,35;239,35;0;0,0;1,57
2019-07-01;236,79;236,79;236,79;236,79;0;0,0;-1,07
2019-07-02;236,89;236,89;236,89;236,89;0;0,0;0,04
2019-07-03;234,13;234,13;234,13;234,13;0;0,0;-1,17
2019-07-04;234,72;234,72;234,72;234,72;0;0,0;0,25
2019-07-05;234,69;234,69;234,69;234,69;0;0,0;-0,01
2019-07-08;234,67;234,67;234,67;234,67;0;0,0;-0,01
2019-07-09;229,75;229,75;229,75;229,75;0;0,0;-2,1
2019-07-10;230,68;230,68;230,68;230,68;0;0,0;0,4
2019-07-11;231,7;231,7;231,7;231,7;0;0,0;0,44
2019-07-12;232,65;232,65;232,65;232,65;0;0,0;0,41
2019-07-15;233,01;233,01;233,01;233,01;0;0,0;0,15
2019-07-16;231,05;231,05;231,05;231,05;0;0,0;-0,84
2019-07-17;232,1;232,1;232,1;232,1;0;0,0;0,45
2019-07-18;232,16;232,16;232,16;232,16;0;0,0;0,03
2019-07-19;231,12;231,12;231,12;231,12;0;0,0;-0,45
2019-07-22;227,46;227,46;227,46;227,46;0;0,0;-1,58
2019-07-23;230,74;230,74;230,74;230,74;0;0,0;1,44
2019-07-24;235,81;235,81;235,81;235,81;0;0,0;2,2
2019-07-25;231,84;231,84;231,84;231,84;0;0,0;-1,68
2019-07-26;229,63;229,63;229,63;229,63;0;0,0;-0,95
2019-07-29;231,1;231,1;231,1;231,1;0;0,0;0,64
2019-07-30;235,06;235,06;235,06;235,06;0;0,0;1,71
2019-07-31;231,81;231,81;231,81;231,81;0;0,0;-1,38
2019-08-01;240,42;240,42;240,42;240,42;0;0,0;3,71
2019-08-02;238,89;238,89;238,89;238,89;0;0,0;-0,64
2019-08-05;239,77;239,77;239,77;239,77;0;0,0;0,37
2019-08-06;245,73;245,73;245,73;245,73;0;0,0;2,49
2019-08-07;245,73;245,73;245,73;245,73;0;0,0;0,0
2019-08-08;241,46;241,46;241,46;241,46;0;0,0;-1,74
2019-08-09;240,22;240,22;240,22;240,22;0;0,0;-0,51
2019-08-12;240,22;240,22;240,22;240,22;0;0,0;0,0
2019-08-13;241,73;241,73;241,73;241,73;0;0,0;0,63
2019-08-14;237,18;237,18;237,18;237,18;0;0,0;-1,88
2019-08-15;237,18;237,18;237,18;237,18;0;0,0;0,0
2019-08-16;240,95;240,95;240,95;240,95;0;0,0;1,59
2019-08-19;240,52;240,52;240,52;240,52;0;0,0;-0,18
2019-08-20;235,44;235,44;235,44;235,44;0;0,0;-2,11
2019-08-21;240,67;240,67;240,67;240,67;0;0,0;2,22
2019-08-22;236,87;236,87;236,87;236,87;0;0,0;-1,58
2019-08-23;237,68;237,68;237,68;237,68;0;0,0;0,34
2019-08-26;235,73;235,73;235,73;235,73;0;0,0;-0,82
2019-08-27;230,69;230,69;230,69;230,69;0;0,0;-2,14
2019-08-28;233,78;233,78;233,78;233,78;0;0,0;1,34
2019-08-29;229,03;229,03;229,03;229,03;0;0,0;-2,03
