Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-06-03;58,45;58,45;58,45;58,45;0;0,0;
2019-06-05;58,49;58,49;58,49;58,49;0;0,0;0,07
2019-06-06;58,2;58,2;58,2;58,2;0;0,0;-0,5
2019-06-07;58,94;58,94;58,94;58,94;0;0,0;1,27
2019-06-11;58,25;58,25;58,25;58,25;0;0,0;-1,17
2019-06-12;58,6;58,6;58,6;58,6;0;0,0;0,6
2019-06-13;58,55;58,55;58,55;58,55;0;0,0;-0,09
2019-06-14;58,91;58,91;58,91;58,91;0;0,0;0,61
2019-06-17;58,26;58,26;58,26;58,26;0;0,0;-1,1
2019-06-18;58,25;58,25;58,25;58,25;0;0,0;-0,02
2019-06-19;58,05;58,05;58,05;58,05;0;0,0;-0,34
2019-06-20;58,19;58,19;58,19;58,19;0;0,0;0,24
2019-06-21;58,34;58,34;58,34;58,34;0;0,0;0,26
2019-06-24;58,64;58,64;58,64;58,64;0;0,0;0,51
2019-06-25;57,51;57,51;57,51;57,51;0;0,0;-1,93
2019-06-26;58,8;58,8;58,8;58,8;0;0,0;2,24
2019-06-27;58,55;58,55;58,55;58,55;0;0,0;-0,43
2019-06-28;58,68;58,68;58,68;58,68;0;0,0;0,22
2019-07-01;58,85;58,85;58,85;58,85;0;0,0;0,29
2019-07-02;58,94;58,94;58,94;58,94;0;0,0;0,15
2019-07-03;58,32;58,32;58,32;58,32;0;0,0;-1,05
2019-07-04;58,18;58,18;58,18;58,18;0;0,0;-0,24
2019-07-05;58,29;58,29;58,29;58,29;0;0,0;0,19
2019-07-08;58,22;58,22;58,22;58,22;0;0,0;-0,12
2019-07-09;58,11;58,11;58,11;58,11;0;0,0;-0,19
2019-07-10;58,1;58,1;58,1;58,1;0;0,0;-0,02
2019-07-11;57,98;57,98;57,98;57,98;0;0,0;-0,21
2019-07-12;57,96;57,96;57,96;57,96;0;0,0;-0,03
2019-07-15;57,75;57,75;57,75;57,75;0;0,0;-0,36
2019-07-16;57,64;57,64;57,64;57,64;0;0,0;-0,19
2019-07-17;57,03;57,03;57,03;57,03;0;0,0;-1,06
2019-07-18;57,64;57,64;57,64;57,64;0;0,0;1,07
2019-07-19;58,57;58,57;58,57;58,57;0;0,0;1,61
2019-07-22;58,03;58,03;58,03;58,03;0;0,0;-0,92
2019-07-23;57,31;57,31;57,31;57,31;0;0,0;-1,24
2019-07-24;57,37;57,37;57,37;57,37;0;0,0;0,1
2019-07-25;57,56;57,56;57,56;57,56;0;0,0;0,33
2019-07-26;57,28;57,28;57,28;57,28;0;0,0;-0,49
2019-07-29;57,18;57,18;57,18;57,18;0;0,0;-0,17
2019-07-30;57,31;57,31;57,31;57,31;0;0,0;0,23
