Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-06-03;45,19;45,19;45,19;45,19;0;0,0;
2019-06-05;44,8;44,8;44,8;44,8;0;0,0;-0,86
2019-06-06;44,48;44,48;44,48;44,48;0;0,0;-0,71
2019-06-07;44,3;44,3;44,3;44,3;0;0,0;-0,4
2019-06-11;43,92;43,92;43,92;43,92;0;0,0;-0,86
2019-06-12;43,14;43,14;43,14;43,14;0;0,0;-1,78
2019-06-13;42,73;42,73;42,73;42,73;0;0,0;-0,95
2019-06-14;43,06;43,06;43,06;43,06;0;0,0;0,77
2019-06-17;42,93;42,93;42,93;42,93;0;0,0;-0,3
2019-06-18;43,17;43,17;43,17;43,17;0;0,0;0,56
2019-06-19;42,98;42,98;42,98;42,98;0;0,0;-0,44
2019-06-20;42,71;42,71;42,71;42,71;0;0,0;-0,63
2019-06-21;43,21;43,21;43,21;43,21;0;0,0;1,17
2019-06-24;43,36;43,36;43,36;43,36;0;0,0;0,35
2019-06-25;42,33;42,33;42,33;42,33;0;0,0;-2,38
2019-06-26;42,46;42,46;42,46;42,46;0;0,0;0,31
2019-06-27;43,21;43,21;43,21;43,21;0;0,0;1,77
2019-06-28;43,11;43,11;43,11;43,11;0;0,0;-0,23
2019-07-01;43,37;43,37;43,37;43,37;0;0,0;0,6
2019-07-02;43,69;43,69;43,69;43,69;0;0,0;0,74
2019-07-03;43,76;43,76;43,76;43,76;0;0,0;0,16
2019-07-04;43,34;43,34;43,34;43,34;0;0,0;-0,96
2019-07-05;43,39;43,39;43,39;43,39;0;0,0;0,12
2019-07-08;43,48;43,48;43,48;43,48;0;0,0;0,21
2019-07-09;43,36;43,36;43,36;43,36;0;0,0;-0,28
2019-07-10;43,45;43,45;43,45;43,45;0;0,0;0,21
2019-07-11;43,57;43,57;43,57;43,57;0;0,0;0,28
2019-07-12;43,58;43,58;43,58;43,58;0;0,0;0,02
2019-07-15;43,09;43,09;43,09;43,09;0;0,0;-1,12
2019-07-16;42,83;42,83;42,83;42,83;0;0,0;-0,6
2019-07-17;41,98;41,98;41,98;41,98;0;0,0;-1,98
2019-07-18;41,89;41,89;41,89;41,89;0;0,0;-0,21
2019-07-19;41,31;41,31;41,31;41,31;0;0,0;-1,38
2019-07-22;41,48;41,48;41,48;41,48;0;0,0;0,41
2019-07-23;41,04;41,04;41,04;41,04;0;0,0;-1,06
2019-07-24;41,5;41,5;41,5;41,5;0;0,0;1,12
2019-07-25;42,07;42,07;42,07;42,07;0;0,0;1,37
2019-07-26;42,34;42,34;42,34;42,34;0;0,0;0,64
2019-07-29;42,21;42,21;42,21;42,21;0;0,0;-0,31
2019-07-30;42,22;42,22;42,22;42,22;0;0,0;0,02
2019-07-31;42,15;42,15;42,15;42,15;0;0,0;-0,17
2019-08-01;41,34;41,34;41,34;41,34;0;0,0;-1,92
2019-08-02;41,72;41,72;41,72;41,72;0;0,0;0,92
2019-08-05;41,68;41,68;41,68;41,68;0;0,0;-0,1
2019-08-06;41,71;41,71;41,71;41,71;0;0,0;0,07
2019-08-07;41,71;41,71;41,71;41,71;0;0,0;0,0
2019-08-08;41,2;41,2;41,2;41,2;0;0,0;-1,22
2019-08-09;41,13;41,13;41,13;41,13;0;0,0;-0,17
2019-08-12;41,13;41,13;41,13;41,13;0;0,0;0,0
2019-08-13;41,02;41,02;41,02;41,02;0;0,0;-0,27
2019-08-14;41,06;41,06;41,06;41,06;0;0,0;0,1
2019-08-15;41,06;41,06;41,06;41,06;0;0,0;0,0
2019-08-16;41,21;41,21;41,21;41,21;0;0,0;0,37
2019-08-19;42,07;42,07;42,07;42,07;0;0,0;2,09
2019-08-20;41,97;41,97;41,97;41,97;0;0,0;-0,24
2019-08-21;42,07;42,07;42,07;42,07;0;0,0;0,24
2019-08-22;42,87;42,87;42,87;42,87;0;0,0;1,9
2019-08-23;42,88;42,88;42,88;42,88;0;0,0;0,02
2019-08-26;42,77;42,77;42,77;42,77;0;0,0;-0,26
2019-08-27;42,54;42,54;42,54;42,54;0;0,0;-0,54
2019-08-28;42,87;42,87;42,87;42,87;0;0,0;0,78
2019-08-29;43,01;43,01;43,01;43,01;0;0,0;0,33
2019-08-30;42,9;42,9;42,9;42,9;0;0,0;-0,26
2019-09-02;42,57;42,57;42,57;42,57;0;0,0;-0,77
2019-09-03;41,87;41,87;41,87;41,87;0;0,0;-1,64
2019-09-04;41,27;41,27;41,27;41,27;0;0,0;-1,43
2019-09-05;41,29;41,29;41,29;41,29;0;0,0;0,05
2019-09-06;41,42;41,42;41,42;41,42;0;0,0;0,31
2019-09-09;41,07;41,07;41,07;41,07;0;0,0;-0,85
2019-09-10;40,88;40,88;40,88;40,88;0;0,0;-0,46
2019-09-11;40,47;40,47;40,47;40,47;0;0,0;-1,0
2019-09-12;40,81;40,81;40,81;40,81;0;0,0;0,84
2019-09-13;40,86;40,86;40,86;40,86;0;0,0;0,12
2019-09-16;40,42;40,42;40,42;40,42;0;0,0;-1,08
2019-09-17;40,07;40,07;40,07;40,07;0;0,0;-0,87
2019-09-18;39,69;39,69;39,69;39,69;0;0,0;-0,95
2019-09-19;39,11;39,11;39,11;39,11;0;0,0;-1,46
2019-09-20;39,27;39,27;39,27;39,27;0;0,0;0,41
2019-09-23;39,02;39,02;39,02;39,02;0;0,0;-0,64
2019-09-24;38,77;38,77;38,77;38,77;0;0,0;-0,64
2019-09-25;38,65;38,65;38,65;38,65;0;0,0;-0,31
2019-09-26;38,5;38,5;38,5;38,5;0;0,0;-0,39
2019-09-27;38,19;38,19;38,19;38,19;0;0,0;-0,81
2019-09-30;38,16;38,16;38,16;38,16;0;0,0;-0,08
2019-10-01;37,32;37,32;37,32;37,32;0;0,0;-2,2
2019-10-02;37,3;37,3;37,3;37,3;0;0,0;-0,05
2019-10-03;37,95;37,95;37,95;37,95;0;0,0;1,74
2019-10-04;37,8;37,8;37,8;37,8;0;0,0;-0,4
2019-10-07;37,64;37,64;37,64;37,64;0;0,0;-0,42
2019-10-08;38,53;38,53;38,53;38,53;0;0,0;2,36
2019-10-09;38,24;38,24;38,24;38,24;0;0,0;-0,75
2019-10-10;38,26;38,26;38,26;38,26;0;0,0;0,05
2019-10-11;38,25;38,25;38,25;38,25;0;0,0;-0,03
2019-10-14;37,37;37,37;37,37;37,37;0;0,0;-2,3
2019-10-15;36,41;36,41;36,41;36,41;0;0,0;-2,57
2019-10-16;36,38;36,38;36,38;36,38;0;0,0;-0,08
2019-10-17;36,05;36,05;36,05;36,05;0;0,0;-0,91
2019-10-18;36,39;36,39;36,39;36,39;0;0,0;0,94
2019-10-21;36,34;36,34;36,34;36,34;0;0,0;-0,14
2019-10-22;36,22;36,22;36,22;36,22;0;0,0;-0,33
2019-10-23;37,06;37,06;37,06;37,06;0;0,0;2,32
2019-10-24;36,98;36,98;36,98;36,98;0;0,0;-0,22
2019-10-25;36,85;36,85;36,85;36,85;0;0,0;-0,35
2019-10-28;37,26;37,26;37,26;37,26;0;0,0;1,11
2019-10-29;36,65;36,65;36,65;36,65;0;0,0;-1,64
2019-10-30;36,18;36,18;36,18;36,18;0;0,0;-1,28
2019-10-31;36,59;36,59;36,59;36,59;0;0,0;1,13
2019-11-01;36,59;36,59;36,59;36,59;0;0,0;0,0
2019-11-04;36,41;36,41;36,41;36,41;0;0,0;-0,49
2019-11-05;36,38;36,38;36,38;36,38;0;0,0;-0,08
2019-11-06;35,92;35,92;35,92;35,92;0;0,0;-1,26
2019-11-07;35,92;35,92;35,92;35,92;0;0,0;0,0
2019-11-08;36,81;36,81;36,81;36,81;0;0,0;2,48
2019-11-11;36,74;36,74;36,74;36,74;0;0,0;-0,19
2019-11-12;37,11;37,11;37,11;37,11;0;0,0;1,01
2019-11-13;36,9;36,9;36,9;36,9;0;0,0;-0,57
2019-11-14;36,72;36,72;36,72;36,72;0;0,0;-0,49
2019-11-18;37,07;37,07;37,07;37,07;0;0,0;0,95
2019-11-19;36,26;36,26;36,26;36,26;0;0,0;-2,19
2019-11-20;36,07;36,07;36,07;36,07;0;0,0;-0,52
2019-11-21;35,64;35,64;35,64;35,64;0;0,0;-1,19
2019-11-22;35,73;35,73;35,73;35,73;0;0,0;0,25
2019-11-25;34,15;34,15;34,15;34,15;0;0,0;-4,42
2019-11-26;34,8;34,8;34,8;34,8;0;0,0;1,9
2019-11-27;34,55;34,55;34,55;34,55;0;0,0;-0,72
2019-11-28;34,53;34,53;34,53;34,53;0;0,0;-0,06
2019-11-29;34,72;34,72;34,72;34,72;0;0,0;0,55
2019-12-02;34,93;34,93;34,93;34,93;0;0,0;0,6
2019-12-03;34,94;34,94;34,94;34,94;0;0,0;0,03
2019-12-04;34,81;34,81;34,81;34,81;0;0,0;-0,37
2019-12-05;34,03;34,03;34,03;34,03;0;0,0;-2,24
2019-12-06;33,61;33,61;33,61;33,61;0;0,0;-1,23
2019-12-09;34,68;34,68;34,68;34,68;0;0,0;3,18
2019-12-10;35,01;35,01;35,01;35,01;0;0,0;0,95
2019-12-11;35,01;35,01;35,01;35,01;0;0,0;0,0
2019-12-12;35,39;35,39;35,39;35,39;0;0,0;1,09
2019-12-13;35,42;35,42;35,42;35,42;0;0,0;0,08
2019-12-16;35,39;35,39;35,39;35,39;0;0,0;-0,08
2019-12-17;35,45;35,45;35,45;35,45;0;0,0;0,17
2019-12-18;35,37;35,37;35,37;35,37;0;0,0;-0,23
2019-12-19;35,51;35,51;35,51;35,51;0;0,0;0,4
2019-12-20;35,62;35,62;35,62;35,62;0;0,0;0,31
2019-12-23;35,83;35,83;35,83;35,83;0;0,0;0,59
2019-12-24;35,61;35,61;35,61;35,61;0;0,0;-0,61
2019-12-25;35,61;35,61;35,61;35,61;0;0,0;0,0
2019-12-26;36,1;36,1;36,1;36,1;0;0,0;1,38
2019-12-27;36,2;36,2;36,2;36,2;0;0,0;0,28
2019-12-30;36,83;36,83;36,83;36,83;0;0,0;1,74
2019-12-31;37,66;37,66;37,66;37,66;0;0,0;2,25
2020-01-01;37,66;37,66;37,66;37,66;0;0,0;0,0
2020-01-02;37,56;37,56;37,56;37,56;0;0,0;-0,27
2020-01-03;37,52;37,52;37,52;37,52;0;0,0;-0,11
2020-01-06;36,62;36,62;36,62;36,62;0;0,0;-2,4
2020-01-07;35,91;35,91;35,91;35,91;0;0,0;-1,94
2020-01-08;35,88;35,88;35,88;35,88;0;0,0;-0,08
2020-01-09;35,84;35,84;35,84;35,84;0;0,0;-0,11
2020-01-10;35,28;35,28;35,28;35,28;0;0,0;-1,56
2020-01-13;35,29;35,29;35,29;35,29;0;0,0;0,03
2020-01-14;35,32;35,32;35,32;35,32;0;0,0;0,09
2020-01-15;35,35;35,35;35,35;35,35;0;0,0;0,08
2020-01-16;35,09;35,09;35,09;35,09;0;0,0;-0,74
2020-01-17;35,4;35,4;35,4;35,4;0;0,0;0,88
2020-01-20;35,98;35,98;35,98;35,98;0;0,0;1,64
2020-01-21;36,62;36,62;36,62;36,62;0;0,0;1,78
