Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-06-03;402,56;402,56;402,56;402,56;0;0,0;
2019-06-05;409,72;409,72;409,72;409,72;0;0,0;1,78
2019-06-06;413,3;413,3;413,3;413,3;0;0,0;0,87
2019-06-07;413,3;413,3;413,3;413,3;0;0,0;0,0
2019-06-11;428,81;428,81;428,81;428,81;0;0,0;3,75
2019-06-12;428,81;428,81;428,81;428,81;0;0,0;0,0
2019-06-13;409,72;409,72;409,72;409,72;0;0,0;-4,45
2019-06-14;409,72;409,72;409,72;409,72;0;0,0;0,0
2019-06-17;393,01;393,01;393,01;393,01;0;0,0;-4,08
2019-06-18;390,63;390,63;390,63;390,63;0;0,0;-0,61
2019-06-19;393,01;393,01;393,01;393,01;0;0,0;0,61
2019-06-20;387,05;387,05;387,05;387,05;0;0,0;-1,52
2019-06-21;383,47;383,47;383,47;383,47;0;0,0;-0,92
2019-06-24;366,76;366,76;366,76;366,76;0;0,0;-4,36
2019-06-25;359,6;359,6;359,6;359,6;0;0,0;-1,95
2019-06-26;360,8;360,8;360,8;360,8;0;0,0;0,33
2019-06-27;365,57;365,57;365,57;365,57;0;0,0;1,32
2019-06-28;342,9;342,9;342,9;342,9;0;0,0;-6,2
2019-07-01;359,6;359,6;359,6;359,6;0;0,0;4,87
2019-07-02;342,9;342,9;342,9;342,9;0;0,0;-4,64
2019-07-03;342,9;342,9;342,9;342,9;0;0,0;0,0
2019-07-04;319,03;319,03;319,03;319,03;0;0,0;-6,96
2019-07-05;330,96;330,96;330,96;330,96;0;0,0;3,74
2019-07-08;330,96;330,96;330,96;330,96;0;0,0;0,0
2019-07-09;330,96;330,96;330,96;330,96;0;0,0;0,0
2019-07-10;330,96;330,96;330,96;330,96;0;0,0;0,0
2019-07-11;325,0;325,0;325,0;325,0;0;0,0;-1,8
2019-07-12;325,0;325,0;325,0;325,0;0;0,0;0,0
2019-07-15;310,68;310,68;310,68;310,68;0;0,0;-4,41
2019-07-16;314,26;314,26;314,26;314,26;0;0,0;1,15
2019-07-17;319,03;319,03;319,03;319,03;0;0,0;1,52
2019-07-18;313,06;313,06;313,06;313,06;0;0,0;-1,87
2019-07-19;332,16;332,16;332,16;332,16;0;0,0;6,1
2019-07-22;356,02;356,02;356,02;356,02;0;0,0;7,18
2019-07-23;354,83;354,83;354,83;354,83;0;0,0;-0,33
2019-07-24;342,9;342,9;342,9;342,9;0;0,0;-3,36
2019-07-25;364,38;364,38;364,38;364,38;0;0,0;6,26
2019-07-26;364,38;364,38;364,38;364,38;0;0,0;0,0
2019-07-29;363,18;363,18;363,18;363,18;0;0,0;-0,33
2019-07-30;354,83;354,83;354,83;354,83;0;0,0;-2,3
2019-07-31;353,64;353,64;353,64;353,64;0;0,0;-0,34
2019-08-01;353,64;353,64;353,64;353,64;0;0,0;0,0
2019-08-02;353,64;353,64;353,64;353,64;0;0,0;0,0
2019-08-05;354,83;354,83;354,83;354,83;0;0,0;0,34
2019-08-06;353,64;353,64;353,64;353,64;0;0,0;-0,34
2019-08-07;353,64;353,64;353,64;353,64;0;0,0;0,0
2019-08-08;353,64;353,64;353,64;353,64;0;0,0;0,0
2019-08-09;378,69;378,69;378,69;378,69;0;0,0;7,08
2019-08-12;378,69;378,69;378,69;378,69;0;0,0;0,0
2019-08-13;390,63;390,63;390,63;390,63;0;0,0;3,15
2019-08-14;366,76;366,76;366,76;366,76;0;0,0;-6,11
2019-08-15;366,76;366,76;366,76;366,76;0;0,0;0,0
2019-08-16;353,64;353,64;353,64;353,64;0;0,0;-3,58
2019-08-19;353,64;353,64;353,64;353,64;0;0,0;0,0
2019-08-20;353,64;353,64;353,64;353,64;0;0,0;0,0
2019-08-21;354,83;354,83;354,83;354,83;0;0,0;0,34
2019-08-22;353,64;353,64;353,64;353,64;0;0,0;-0,34
2019-08-23;364,38;364,38;364,38;364,38;0;0,0;3,04
2019-08-26;354,83;354,83;354,83;354,83;0;0,0;-2,62
2019-08-27;366,76;366,76;366,76;366,76;0;0,0;3,36
2019-08-28;366,76;366,76;366,76;366,76;0;0,0;0,0
2019-08-29;378,69;378,69;378,69;378,69;0;0,0;3,25
2019-08-30;366,76;366,76;366,76;366,76;0;0,0;-3,15
2019-09-02;365,57;365,57;365,57;365,57;0;0,0;-0,32
2019-09-03;365,57;365,57;365,57;365,57;0;0,0;0,0
